"('job_Name',)","('job_Wage',)","('job_AverWage',)","('company_Name',)","('company_Nature',)","('company_Scale',)","('company_Address',)","('company_Distance',)","('company_Duration',)","('company_Traffic',)","('job_PeopleNum',)","('job_Issue',)","('job_Article',)","('job_Link',)"
策划经理,20-30万/年,20833.33,成都银城置业有限公司,国企,150-500人,四川省成都市高新区天府大道北段1199号成都银泰中心3#27层,12514,2971,公共交通,2人 | 本科 | 5-7年工作经验,2016-12-26,"
						负责公司房地产、商业地产项目的全面策划工作，对策划报告及策划方案负全责；
2、前期市场定位及营销策划方案的主要责任者，领导项目各阶段策划方案的撰写工作，并对执行结果负责；
3、根据总体销售目标，配合销售部门制定营销计划和阶段性市场推广计划，并监督和推动营销各环节的运作统筹，达成销售目标；
4、负责组织进行定期与不定期的市场调研、竞争项目研究，收集、整理竞争项目的相关信息；
5、能独立组织撰写各类项目策划报告、独立提案；
6、市场营销成本及费用的整体控制；
7、跟踪房地产行业最新的相关动态，定期完成各个项目策划推广工作的组织实施、监督控制、协调、分析评估及报告。
8",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=77673077
策划师,6000-7999/月,6999.5,成都日新伟业置业有限公司,民营公司,150-500人,成都市锦江区下东大街216号喜年广场44F,1372,1036,公共交通,若干人 | 学历不限 | 工作经验不限,2016-12-26,"
						岗位职责：
1.负责协助项目主策开展项目策划工作；
2.负责项目周报、月报的拟写和汇报；
3.负责区域市场、竞品的跟踪调查；
4.负责项目交办的其它策划工作。

任职资格：
1、1年以上房地产工作经验， 具备良好的地产项目营销策划及文字表达能力；
2、协助参与过大型房地产项目定位、营销、策划；
3、具有很强组织、协调、管理能力，有操作项目的工作经验；
4、沟通能力、逻辑思维能力、抗压力强。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83288907
全能职业人（培训 演讲 主持 策划 公关 销售 管理等）,8-10万/年,7500,太平人寿保险有限公司四川分公司,国企,10000人以上,青羊区顺城大街308号冠城广场四楼0403；联系电话：13608065067,3577,1708,公共交通,20人 | 本科 | 工作经验不限,2016-12-26,"
一、招聘岗位：1、全能职业人：薪资待遇：第一到第三个月为试用期；薪酬5000~8000+管理津贴+季度奖金+年终奖+培训+旅游+保险（按职级拥有意外、医疗、及长期服务津贴、养老保障）。二、招聘要求： 1、本科及以上学历（含应届毕业生） 2、校团委、学生会或班干部 3、高追求、有成功创业经历者优先 4、研究生、海归优先5、有特殊技能者优先6、形象气质佳、男***别不限：***身高158cm及以上、***身高168cm及以上 三、简历接收：1、投递邮箱：TPSC_HR@163.com2、联系方式：13608065067（周经理） ",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=75366639
产品策划（游戏方向）,10000-15000/月,12500,成都景和千城科技有限公司,民营公司,150-500人,成都市高新区天府软件园G区8栋3楼,15352,3104,公共交通,1人 | 学历不限 | 工作经验不限,2016-12-26,"
						岗位职责
1、参与公司某一系统或者某一业务线的规划设计；
2、负责规划公司偏游戏方向，设计相应的PC版本类似游戏风格的系统产品规则；
3、编写PC版本互联网系统中，游戏类型产品说明书（包括规则/UI/美术需求等）；
4、了解游戏行业发展走向，分析自身及竞争对手及行业情况，及时调整竞争策略；
5、分析业务需求，梳理系统逻辑，撰写产品需求说明书；协调和推动研发和测试环节，以确保产品目标实现；
6、与各部门人员保持紧密沟通，确保产品的正常进度并对产品结果负责，跟进到最终上线的整个流程；
7、输出需求分析，PRD原型，原型界面，交互界面，用户跟踪，测试报告等，任意一种精准",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84513481
商业策划主管,10000-14999/月,12499.5,四川融信房地产开发有限公司,民营公司,150-500人,环球中心E1-2-1501,14368,3315,公共交通,1人 | 大专 | 5-7年工作经验,2016-12-26,"
						岗位职责：
1、撰写全程策划报告、定位报告、规划建议、执行报告；全面负责项目营销策划工作，进行项目的相关营销、定位策划，市场策划方案、广告方案的撰写与编制，项目销售方案的制定与实施，项目可行性研究，完成项目投资测算、产品策划定位报告。
2、负责公司的形象宣传、推广及形象监控；负责公司VI形象的设计、策划、应用、推广和规范管理。
3、负责办理方案的报批并办理领取执照的手续，向政府申报项目建设计划，办理征用土地的相关手续。
4、负责对销售及策划进度进行动态掌控。负责协调政府关系及手续的办理、规划设计、拆迁工作、市政实施及客户入住等工作。
5、组织对目标市场进行调查分析，准",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84492470
营销策划经理,8000-12000/月,10000,四川省美意珠宝有限公司,民营公司,150-500人,锦江区梨花街皇城公寓4栋20楼B,3883,1658,公共交通,1人 | 本科 | 工作经验不限,2016-12-26,"
						职位描述：
工作内容及范围：
1、充分理解公司品牌定位、目标消费者定位及品类竞争策略，活动策划，提报经公司确认后，组织实施创新性店铺营销；2、建立起事业部管理体系下营销规划执行流程，确保规划在各门店得以准确执行并及时反馈；3、负责公司管理店铺营销活动在门店可监管可控制并及时回顾；4、负责公司管理商品促销，确保公司营销目标达成；5、与优质异业伙伴建立良好合作关系，丰富活动类型；6、完成新店及临时营销策划任务。

任职资格：
相关行业营销策划岗位3-5年工作经验，对活动策划有独到见解。要求有优秀的时间管理能力及强烈的责任心、较强的承压能力；
职能类别：市场/营销/拓展经理					",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82896297
推广策划专员,6000-7999/月,6999.5,成都喜鹊家居用品有限公司,民营公司,500-1000人,成都高新区天和西二街189号4楼,9956,2717,公共交通,1人 | 大专 | 工作经验不限,2016-12-26,"
						1、敢用作品说话。
2、有客户思维、有互联网思维。
3、能在网上用策划鼓动人气，也能在纸上用文案打动人心。
4、负责品牌推广的方案策划、广告文案、品牌软文，媒体合作。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83976642
市场策划,4000-8000/月,6000,北京中富金石咨询有限公司四川分公司,民营公司,150-500人,高新区天府二街萃华路国际科技节能大厦A座8楼,6507,2107,公共交通,1人 | 大专 | 2年工作经验 | 普通话 ,2016-12-26,"
						1、负责销售部门整体网络广告策划；
2、结合市场行情热点进行专题专案策划；
3、通过与网络技术、设计的对接，实现策划方案的落地执行；
4、与业务部对接策划案的实施状态并进行监督；
5、统计策划案的网络表现数据并做出评估和优化。
 
任职要求：
1、本科及其以上，广告或金融专业相关专业为佳；
2、2年以上金融行业策划及文案工作经验；
3、优秀的审美鉴赏能力；
4、优秀的文字表述能力，逻辑性强，有创意；
5、熟悉SEM、网盟、移动推广等网络广告环境。
 
薪酬福利：
底薪+绩效+年终奖+周末双休+国家法定节假日+六险
上班地址：成都市高新区天府二街萃华",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84463521
电商部高级策划,6000-7999/月,6999.5,成都市宏正市场开发管理有限公司,民营公司,150-500人,成都市二环路北三段388号宏正广场8楼,8541,2487,公共交通,1人 | 大专 | 工作经验不限,2016-12-26,"
						岗位职责：
1.负责公司线上及线下活动的整体规划，制订品牌营销战略，保证营销活动的完整实施和效果追踪评估；
2.积累并利用好营销资源，使公司的品牌、产品及服务最快传递给目标用户群体；
3.负责公司线上、线下营销预算制定和使用管理；
4.主导公司产品的前期需求调研，以及用户的需求验证工作；
5.监控营销的效率数据，定期整理营销报告；
6.协助部门经理管理团队，.指导、监督、检查相关人员的日常工作，充分调动团队成员的积极性，并确保跨部门合作的顺利进行。
任职要求：,
1.大专以上学历，男女不限；
2.三年以上互联网营销工作及线下活动策划经验，1年以上团队管理经验，",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=76850393
策划推广部经理,100000-150000/年,10416.67,成都市聚仁祥商贸有限公司,民营公司,150-500人,高新区天和西二街189号富森创意B座北区1301-1306号,9561,2388,公共交通,1人 | 大专 | 工作经验不限,2016-12-26,"
						岗位职责：
带领团队负责全川的销售推广和活动策划执行、有效的促进业绩目标的达成。
任职要求：
新闻媒体、营销策划、工商管理等相关专业大专及以上学历，三年及以上工作经验，能适应短期出差，优秀的沟通表达能力、优秀的自我修养和执行能力，有建材、家居等行业相关从业经历优先。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82526613
品牌策划经理,6000-7999/月,6999.5,四川万企共赢企业管理有限公司,民营公司,150-500人,成都市武侯区天府大道北段1700号环球中心N5.9-1505、1507、1509,14368,3315,公共交通,3人 | 学历不限 | 工作经验不限,2016-12-26,"
						岗位职责：
1、负责公司项目品牌的全面企划工作，包括提案、对接客户、对接资源、效果评估等；
2、根据客户要求策划不同的品牌线上线下推广活动；
3、熟知广告投放流程，能够制定出符合品牌调性的广告投放计划，并进行效果评估；
4、有能力独立策划撰写市场营销方案和日常活动推广/传播计划；
5、实时了解行业动态，并结合公司自身业务提供市场活动建议；
6、定期搜集同业竞争对手营销资料，为决策提供依据；
7、负责市场活动的策划、推进、执行与反馈，对执行结果负责；
8、负责领导交办的其他工作。
任职资格：
1、新闻、广告、传播、市场营销或相关专业；
2、了解电商行业，具备",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83615900
策划师-贵州毕节,6000-7999/月,6999.5,四川新港地产顾问有限公司,民营公司,150-500人,成都市猛追湾街94号成都339（欢乐颂）B栋14楼,1559,1293,公共交通,1人 | 大专 | 2年工作经验,2016-12-26,"
						【岗位职责】
1、负责项目全程策划工作；
2、独立操作项目，需执笔写方案；
3、收集市场信息，提供策划报告；

【任职资格】
1、3年以上相关工作经验，有写字楼、酒店、商铺等成功策划案例。
2、能独立运作地产项目前期、中期及后期策划工作。
3、能独立完成项目资料的撰写。包括策略报告（市场调研、项目定位、土地分析报告等）及房地产项目营销策划方案等。
4、沟通能力、协调能力强，具有良好的团队合作精神和高度的责任感。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=80326594
策划经理/主管,,,成都华宇业瑞房地产开发有限公司,民营公司,500-1000人,成都市武侯区人民南路四段北12号华宇蓉国府写字楼21楼,7244,2050,公共交通,1人 | 大专 | 工作经验不限,2016-12-26,"
						任职要求：
1、25岁至35岁之间，经验丰富、能力出众者可适当放宽要求
2、市场营销、房地产经营管理等相关专业本科及以上学历
3、3年以上市场、销售相关工作经验，1年以上房地产行业同岗位工作经验
4、具有企业管理、市场营销、房地产营销管理、房地产市场策划、广告策划等相关专业知识
5、对房地产行业、客户和媒体具有较深理解，具备先进的营销理念，有较强的市场分析和应变能力
6、良好的沟通交往能力，敏锐的市场洞察力及市场开拓能力，组织协调能力强，具备团队管理能力						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=43817574
证券网络营销策划师+底薪6000,6000-7999/月,6999.5,四川大决策证券投资顾问有限公司,民营公司,150-500人,环球中心S2/8楼805,13861,2909,公共交通,1人 | 大专 | 2年工作经验 | 普通话 一般,2016-12-26,"
						岗位职责：
1.能够基于互联网金融产品，找到目标用户，洞察市场机会；
2、懂策略，参与制定产品品牌战略、营销策略；
3、懂品牌和行业：跟踪、洞察行业的最新趋势及竞争对手的资讯，把握市场动向。
4、懂文案及沟通：负责公司网站、官微电子刊物的撰写。
5、定期进行营销推广效果跟踪、评估；负责行业营销动态监测和分析，针对公司营销工作提出建议或方案；
6、完成领导安排的其他工作。
任职要求：
1.年龄27-35岁，有相关工作岗位和类似工作岗位经验2年以上。
2.有金融行业营销策划经验优先。
3.良好的沟通能力执行能力。
福利待遇：
1、底薪6000+高额提成+业绩",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81045414
网络文案/策划/编辑,6000-7999/月,6999.5,成都医学院附属不孕不育医院有限公司,民营公司,150-500人,成都市二环路红牌楼西站永顺路36号（前行100米）,9936,2635,公共交通,2人 | 大专 | 2年工作经验,2016-12-26,"
						职位描述：
1、负责公司网站介绍与创意策划文案、品牌策划文案、公司的各类新闻、媒体文稿和宣传信息等，编辑、撰写。
2、编写网站、微信各宣传资料，收集、研究和处理网上消费者的意见和反馈信息；
3、参与公司网站、微信的市场推广及创意、网络推广以及相关活动主题策划和文档的撰写；
4、根据活动项目的推广计划完成媒体文案策划工作，协助部门展开各方面媒体合作；
5、协助上级领导完成各项文案策划工作，及上级领导交办的其它事务。
任职要求：
1、大专以上学历，新闻、中文、广告等相关专业；
2、对事物的理解力强，文字功底好，思维创新，具备出色的沟通能力、组织协调能力及分析判断能力",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=74573199
系统策划（手游）,6000-10000/月,8000,厦门极致互动网络技术股份有限公司成都分公司,民营公司,150-500人,成都市高新区益州大道北段777号AIP·中航国际交流中心A栋16F,13014,2863,公共交通,3人 | 本科 | 1年工作经验,2016-12-26,"
						岗位职责：
1、负责设计游戏中的各种玩法与系统；
2、负责制作和维护游戏数据；
3、在开发中与美术、程序沟通具体细节问题。

任职要求：
1、有较强的逻辑思维能力；
2、有较强的系统架构和设计能力；
3、有较强的文案编写能力；
4、对主要游戏类型的行为模式有足够的了解和研究；
5、对游戏中通常存在的各种系统有足够的了解和研究；
6、对玩家心理学有一定研究。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83830504
市场策划,6000-7999/月,6999.5,成都金尚品珠宝有限公司,民营公司,150-500人,成都青羊大道97号优诺国际1503,10004,2846,公共交通,1人 | 学历不限 | 工作经验不限,2016-12-26,"
						1、零售终端门店促销活动策划并贯彻执行；
2、会员活动的策划；
3、异业的开发与联盟。
任职资格：
1、专科及以上学历，市场营销等相关专业；
2、具有3年以上零售行业企划、品牌推广工作经验；
3、具备较强的市场策划能力、文案撰写能力和市场推广组织实施能力，执行力强；
4、有很强的规划及协调能力，良好的人际沟通协调能力和组织能力及团队合作精神。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83928173
策划经理（贵阳项目）,8000-9999/月,8999.5,成都龙睿房地产经纪有限公司,民营公司,150-500人,成都市成华区建设路9号高地中心,2682,1395,公共交通,3人 | 大专 | 3-4年工作经验,2016-12-26,"
						还在终日做物料？还是配合活动？长期做笔杆子？
加入龙睿，到贵州去，百万方大开发商项目，全盘操控，有效提升全方位能力，同时让钱包鼓起来，身体好起来，逃离PM2.5，逃离酷暑！

-------------------------------------------------------------------------------------------------------------------------
1、制定项目整合营销运作策略
2、制定项目整体营销计划
3、跟进营销推广的所有工作并确保实施进度和效果
4、参与营销团队开展市场调研、项目媒介分析、制定项目价格体系",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=70576708
资深文案策划,5000-7000/月,6000,国际私塾总部,民营公司,1000-5000人,高新区环球中心,14368,3315,公共交通,1人 | 本科 | 3-4年工作经验 | 英语 良好,2016-12-26,"
						岗位职责
1、组织参与公司的文案构思及文案策划；
2、与设计师协作，执行并监督所负责项目的创意构思和文案；
3、稿件思路清晰，能够完成稿件写作思路规划；
4、协助各个部门的文案需求，进行创意提案，保证工作的顺利推进；
5、独立撰写各类稿件（新闻稿、综述稿、评论稿、专访稿等）、策划方案、报告等

任职资格
1、新闻学、传播学、中文、经济管理类相关专业，大学本科以上学历；
2、熟悉教育培训行业，两年以上市场策划及文案工作经验；
3、能够准确捕捉产品亮点，具备恰如其分的文字表现能力；
4、熟悉专业创意方法，思维敏捷，洞察力强，文字功底扎实，语言表达能力强；
5、能独立完成项目、广告等",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83360508
股票咨询营销策划师（含会销）,6000-7999/月,6999.5,四川中诚财富股权投资基金管理有限公司,民营公司,150-500人,成都市锦江区芷泉街时代8号2305室,1126,133,的士,3人 | 大专 | 工作经验不限,2016-12-26,"
						1.能够基于互联网金融产品(直播、QQ、微信、APP、广告渠道、视频门户)，找到目标用户，洞察市场机会；
2、懂策略，包装公司的金融老师团队，包装公司的咨询融资项目，参与制定产品品牌战略、营销策略；
3、懂品牌和行业：跟踪、洞察行业的最新趋势及竞争对手的资讯，把握市场动向。
4、懂文案及沟通：负责公司网站、官微电子刊物的撰写。
5、定期进行营销推广效果跟踪、评估；负责行业营销动态监测和分析，针对公司营销工作提出建议或方案；
6、完成领导安排的其他工作。

任职要求：
1.年龄30岁左右，有相关工作岗位和类似工作岗位经验3年以上。
2.有地产，金融行业营销策划经验",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81039256
策划部经理,8000-12000/月,10000,四川岚庭装饰工程有限公司,民营公司,500-1000人,成都市青羊区锣锅巷122号云龙酒店4楼,3536,1604,公共交通,1人 | 本科 | 3-4年工作经验,2016-12-26,"
						岗位职责：
1、分析市场需求，发掘新业务切入点，策划与之适应的业务运作与管理模式，满足业务快速增长的需求；
2、现有业务的梳理与产品的生命周期管理；
3、策划与组织各种具体的市场活动，合理协调好各部分工作的分工与合作；
4、负责公司产品线上线下宣传推广及包装；
5、独立完成广告策划方案、课程推广方案；
6、负责对公司（日常、活动）数据进行总结、归纳，为销售、设计师客户洽谈提供有力市场工具；
7、及时检验推广效果，优化推广渠道，提高推广效果，提升团队的目标感和战斗力；
8、负责搜集整理项目所涉及的各类资料，并整理归纳，建立完整资料库；
9、负责配合、协助部门处理、开展业务拓展。
",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82901502
策划（设计方向）,4000-8000/月,6000,四川华邑东方投资有限公司,民营公司,150-500人,成都市高新区天府大道天府三街口新希望国际C座1305,15791,2836,公共交通,2人 | 大专 | 3-4年工作经验,2016-12-26,"
						岗位职责：
1、负责会展项目的视觉设计、平面设计、宣传物设计及制作和验收等；
2、负责会展策划方案的视觉美化、印刷制作等；
3、会展项目现场视觉和布展设计及效果监控；
4、协助网页设计人员完成会展项目网站、微信公号等设计和维护；
5、其他设计类工作。

任职要求：
1、平面设计、美术设计相关专业大专以上学历，三年以上相关工作经验；
2、熟练操作各类平面设计软件
3、熟悉画册、海报、折页、VI形象设计及印刷工艺流程知识，并能独立完成设计工作
4、有扎实的美术基础，思维敏捷有创意
5、较强的学习和沟通能力，良好的团队意识，工作认真、敬业

待遇：面议						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84335381
企划专员（平面、UI设计及文案策划方向）,6000-7999/月,6999.5,四川盖亚诊所连锁股份有限公司,民营公司,1000-5000人,成都市高新区天府大道中段530号2栋16层1601号,15057,2867,公共交通,1人 | 大专 | 3-4年工作经验,2016-12-26,"
						岗位职责 1、 协助项目进行产品界面设计； 2、 对公司网站界面进行设计修改，协助进行网站更新及维护工作； 3、 协助各业务部门制作PPT、产品演示版本等； 4、 协助运营总监进行平面、动画制作类的相关标准制定以及流程的制定及创新工作； 5、 负责公司文案写作、CI、产品包装、广告宣传等的美术设计制作等； 6、 其他相关美术设计方面的工作； 7、熟悉摄影及摄像并熟练运用软件进行剪辑制作。 任职资格 1、 美术、平面设计相关专业，大学专科及以上学历； 2、 有5年以上相关工作经验； 3、 熟练掌握Flash、Fireworks、Dreamweaver、Photoshop、Core",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=80279724
（商业板块）商业策划总监,40-50万/年,37500,蓝润地产股份有限公司,民营公司,500-1000人,锦江区红星路3段1号国际金融中心1号办公楼39楼,1353,920,公共交通,1人 | 本科 | 10年以上工作经验,2016-12-26,"
						工作职责：
1. 负责集团下设商业项目产品策划，并组织定位评审；
2. 负责新项目规划阶段的市场定位、客户定位和总图定位；
3. 负责商业项目业态规划、功能布局；
4. 负责商业项目租金目标规划，并根据公司战略提供项目财务目标估值参考；
5. 参与评审设计图纸并提供优化建议。

岗位要求：
1. 全日制本科及以上学历；
2. 8年以上商业地产项目产品策划相关工作经验；
3. 熟悉购物中心/商业地产市场，具较强的数据分析能力，能独立操作项目相关分析策划研究报告；
4. 具备良好的逻辑性及文字能力，有良好的沟通能力及语言表达能力。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83844643
营销策划副总监,8000-15000/月,11500,成都美美力诚百货有限公司,民营公司,500-1000人,人民南路二段18号川信大厦,4181,1485,公共交通,1人 | 本科 | 5-7年工作经验 | 英语 良好,2016-12-26,"
						营销策划副总监岗位职责及要求：
参与制定公司的销售战略、具体销售计划和进行销售预测，组织与管理本部门销售团队，完成销售目标。
 
岗位职责：
1．负责制定公司的总体市场发展战略以及市场发展目标，提出市场推广、品牌、活动等方面的具体方向和实施方案；
2．参与制订公司营销战略，根据营销战略制订公司营销组合策略和营销计划，经批准后组织本部门实施；
3．负责本部门市场开发计划的总体实施，制定年度专业培训计划并协助实施，每月不少于5次的市场部专业培训；
4．定期对市场营销环境、目标、计划、业务活动进行核查分析，及时调整营销策略和计划，制订预防和纠正措施，确保完成营销目标和营销计划；
5．",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=80471298
新媒体文案策划,6000-7999/月,6999.5,七星能源投资集团-大英县永乐湖旅游投资开发有限公司,民营公司,150-500人,成都市武侯区人民南路三段二号汇日央扩803室,5126,1707,公共交通,1人 | 大专 | 3-4年工作经验 | 普通话 熟练 | 英语 良好,2016-12-26,"
						岗位职责：
1、制定新媒体推广计划；
2、熟悉微博、微信运营架构，熟悉大号；能及时分析热点事件，并借势推广。
3、熟悉论坛、微博、朋友圈的营销策略；配合文案玩转各社交媒体和渠道，以事件营销引爆线上炒作；
4、清晰项目目标，快速了解各部门文案需求，提供快速、精准、精彩的案头支持；
5、负责宣传推广文案及新媒体文案的撰写；
6、负责创意内容、线上营销及活动的策划；
7、沉淀创意产出和内容撰写的经验，形成知识管理。

岗位要求：
1、2年及以上工作经验，新闻、中文相关专业；
2、有1年以上互联网策划、新媒体文案等工作经验，能够熟练进行各类新媒体文案策划编辑，有一定的软文写作能力和推广",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=70064715
CH5501策划师（6000-8000，优质项目，品牌开发商）,6000-7999/月,6999.5,成都正合地产顾问股份有限公司,民营公司,1000-5000人,成都市东城根上街95号成证大厦2楼,4093,1702,公共交通,2人 | 学历不限 | 工作经验不限,2016-12-26,"
						品牌开发商——万科、保利、绿地等一线开发商！
平台与实力——西南顶尖营销团队、成功挂牌新三板
没有天花板——晋级11层通道可打拼！
持续培训期——228门内训课程可享受！

岗位职责：
1） 项目主策，主导房地产项目的营销策划策略、广告、渠道、活动等工作
2）指导、带教辅策的工作，帮助团队专业成长
3）独立对接开发商，维护与开发商的关系

任职要求：
1）两年以上工作经验，较强的市场敏锐度，熟悉房地产营销运作、熟悉策划报告定作及策划工作流程，独立、全程操作1个以上房地产项目，有项目前期工作经验者优先；
2）较强的逻辑分析能力，书面及语言文字表达能力，沟通和协",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84424833
策划,8000-9999/月,8999.5,成都顶呱呱投资集团有限公司,民营公司,1000-5000人,成都市武侯区科华北路65号世外桃源写字楼3层-3层,4806,1905,公共交通,1人 | 学历不限 | 3-4年工作经验,2016-12-26,"
						工作职责：

l 负责公司营销活动策划，活动推广及品牌推广文案写作；
2 组织、撰写有关企业市场宣传的文档、深度稿、新闻稿，及有关短文；
3 优化提升公司所有平台及产品相关的文案质量;
4、利用微信、微博等社会化媒体平台为客户提供口碑营销服务；
5、收集并整理客户及其竞争对手的基本行业信息，进行网络舆情监测；
6、与内部团队沟通，及时准确执行项目经理下达任务，保障传播计划的顺利进行,撰写日常采访报道类新闻稿件
7、有装修行业经验优先

任职要求：
1、本科以上学历，新闻、广告、市场营销等相关专业优先；
2 1年以上公关或互动营销行业相关工作经验，新媒体互动营",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82350517
高级策划经理（项目策划、前期策划）,6000-7999/月,6999.5,成都易居西部不动产投资顾问有限公司,民营公司,150-500人,成都市锦江区紫东楼段35号明宇金融广场26楼,2094,1519,公共交通,3人 | 大专 | 3-4年工作经验,2016-12-26,"
						岗位要求：
1、能掌握项目策划方向、目标，能独立执行项目策划并执行；根据项目的特点完成销售条件的筹备建议及准备工作。
2、带领团队完成各个销售节点的策略方案及执行；同时带领团队完成持续销售期活动方案及执行。
3、掌握市场、竞品、推售、项目问题预期及时动态，制定对策方案。
4、根据工作需要调整团队作业模式，合理、高效的调配团队人员工作；
5、制定带教方案、指导策划师制定带教方案并执行；做好日常策划工作中数据、物品、台账等资料管理的监督；配合公司进行策划职能的管理与培训。
6、组织策划组内成员日常团队建设，技术交流等。
任职要求：
1、本科及以上学历，具有3年以上同业相关工作经验。",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=51758532
文案策划,6000-7999/月,6999.5,美莱医学美容医院有限公司,民营公司,150-500人,四川省成都市青羊区青华路31号,7707,2323,公共交通,2人 | 学历不限 | 工作经验不限,2016-12-26,"
						职位描述：
1、负责公司的产品文案、宣传文案、广告文案、活动方案、新闻稿件及各种软文稿件等的撰写；
2、关注医美行业以及社会化媒体发展动态，挖掘客户心理需求，策划创意文案和传播方式；
3、能根据实时重点新闻、事件相结合，做好及时有效推广方案 ；
4、协助营销策划系列产品、服务推广活动，参与活动执行。
任职要求：
1、大专以上学历，熟悉各种策划写作形式，能独立进行方案创作；
2、具备深厚、扎实的文字功底和较强的文字表现力，热爱文字编辑工作,思路清晰,文笔流畅；
3、熟悉医美行业，敢于创意，思维活跃，对营销需求有敏锐的洞察力；
4、能够高效率的完成工作，能承受强度",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82711093
文案策划,6000-7999/月,6999.5,成都正好医学美容门诊部有限公司,民营公司,,大安东路47号正好医美,2766,1494,公共交通,3人 | 学历不限 | 工作经验不限,2016-12-26,"
						1、在部门负责人的领导下，负责公司各类活动方案的设计、策划、实施与业务管理；
2、负责公司营销策划、活动策划、品牌策划等相关的文案编写，能独立高质量完稿；
3、挖掘、提炼诉求点，负责相关宣传品及广告物料的文案策划；
4、对各种市场活动信息或素材进行收集反馈；
5、负责公司品牌提升方案的策划，促销公关活动的执行和管理；
6、对互联网运作有一定的见解；
7、熟悉新媒体宣传。
二、任职资格
1、行文流畅优美，富有煽动性和感染力，广告学，汉语言，新闻传播，电视传媒类专业为佳；
2、1年以上医美行业创意文案策划或类似工作经验；
3、思维敏捷，富有创意，善于归纳，提炼，",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83896995
高级市场专员（活动策划执行）,,,瑞庭网络技术（上海）有限公司成都分公司-安居客,外资（非欧美）,1000-5000人,成都市锦江区新光华街7号航天科技大厦1701-03室,4302,1582,公共交通,1人 | 大专 | 工作经验不限,2016-12-26,"
						1、根据销售需求策划并执行产品推广及营销活动，负责活动方案的策划创意、执行和管理；

2、协调整合各方资源（如与供应商沟通、与场地方谈判，准备及分发物料），策划、执行活动方案，对活动全流程进行执行和监控；

3、熟悉整体活动流程及特点，可将活动策划方案转化为具体的执行方案，细化工作流程，严格按照时间节点和质量要求完成工作；在活动中收集用户反馈，不断优化活动策划方案。

4、能够胜任从活动策划、活动执行统筹、活动运营、后期收尾的整体活动流程。

5、上级安排的其他工作。

任职要求：

1、全日制大专及以上学历，市场营销等相关专业；

2、2年以上市场策划、活动或产品推广等相关工",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=79624697
数值策划,4000-9000/月,6500,成都天象互动科技有限公司,民营公司,150-500人,高新区天府软件园E区E5-1十四楼,15352,3104,公共交通,1人 | 本科 | 2年工作经验,2016-12-26,"
						工作职责：
1. 进行相关数值系统的设计、跟进、验收以及数值平衡；
2. 配置各种与数值相关的数据；
3. 协助其它部门添加游戏数据，填写数据表。

任职要求：
1. 本科及以上学历，二年以上数值策划经验，在成功项目内担任过数值策划者优先；
2. 有丰富的网络游戏经验；
3. 有良好的沟通能力与逻辑性，头脑灵活；
4. 热爱游戏制作行业，并具有高度的进取心；
5. 精通Excel，可熟练使用VBA者优先。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=63834403
