"('job_Name',)","('job_Wage',)","('job_AverWage',)","('company_Name',)","('company_Nature',)","('company_Scale',)","('company_Address',)","('company_Distance',)","('company_Duration',)","('company_Traffic',)","('job_PeopleNum',)","('job_Issue',)","('job_Article',)","('job_Link',)","('job_Id',)","('company_Id',)"
文案策划,5-8千/月,6500,四川传承生物医药科技有限公司,民营公司,150-500人,成都市青羊区东华正街33号华顺大厦6楼,2328,1377,公共交通,1人 | 大专 | 1年工作经验,2017-03-22,"
						岗位职责：
1.负责公司整体文案与活动策划，相关网络及市场营销渠道的 文案策划等工作
2.负责策划设计产品文案。产品包装及说明书的撰写，分析各类型产品。
3.根据销售状况确定产品促销方案。促销产品和促销资源的分配页面的改版，设计活动文案。
4.负责公司产品与 品牌的注释文案策划，品牌风格，定位，品牌故事，独特优势特色及差异性?
任职职格：
1.文字撰写能力强。
2.有养生保健品行业文案策划一年以上工作经验以上者优先						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=71975029,71975029,2534958
品牌企划,4-6千/月,5000,成都追银族饰品股份有限公司,民营公司,500-1000人,成都市人民中路三段2号万富大厦17楼（文殊坊地铁B出口旁）,5184,1627,公共交通,1人 | 大专 | 工作经验不限,2017-03-22,"
						岗位职责
1、负责品牌推广的策划并监督执行；
2、完成品牌形象包装策划与基础打造；
3、完成企业VI设计以及延展设计的研发与管理；
4、完善品牌资料库建设；
5、完善推广平台资源库的建设；

岗位要求
1、大专以上学历，品牌公司一年以上同岗位工作经验；
2、对品牌建设、品牌标准、品牌推广等有独到的见解；
3、具备计划规划与进度管理的相关能力，有一定创意思路，能独立开展品牌策划工作；
4、熟悉品牌推广渠道与媒介；
5、熟练操作PowerPoint、Word、 Excel等办公软件。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86633506,86633506,3023608
市场品牌部专员,4.5-6千/月,5250,第一太平戴维斯物业顾问（成都）有限公司,外资（非欧美）,500-1000人,成都市人民南路二段1号仁恒置地广场2106室,4234,1528,公共交通,2人 | 本科 | 3-4年工作经验 | 英语 熟练,2017-03-22,"
						1. 协助部门经理进行公司品牌提升相关的活动
2. 维护媒介资源，建立相关联系
3. 公司内外部活动的组织安排
4. 活动物资的准备与协调
5. 公司内外部海报、视频等官方资料的设计
6. 部门经理交代的其他事宜

任职要求：
1. 统招本科以上文凭，3-5年市场公关部工作经验者优先考虑；
2. 独立学习、思考能力，具创新思维，具有专业设计能力；
3. 英语熟练（听说读写）
4. 良好的沟通表达能力；良好的审美能力；
5. 活动组织安排能力，能协助经理完成大小活动的组织与安排，包括流程确定、物料准备等						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=79178181,79178181,2047997
文化部运营总监,5+ 千/月,5000,四川云在天上科技有限公司,民营公司,150-500人,成都市武侯区人民南路四段48号首座C座22层,8390,2233,公共交通,1人 | 学历不限 | 10年以上工作经验,2017-03-22,"
						1、限*** ，要求艺术相关专业，工作经验10年以上；
2、对文化创作及文化市场运作有较强的运行能力；
3、普通话标准，对文化公司运营有独立的资源及文化信息；
4、能带领团队完成企业领导的整体战略布局实施工作。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85206774,85206774,3643609
文旅项目前期策划,4.5-6千/月,5250,域上和美集团有限公司,民营公司,1000-5000人,成都市武侯区保利中心南塔28楼,7241,2047,公共交通,1人 | 本科 | 工作经验不限,2017-03-22,"
						工作职责
1、完成公司项目的策划、营销推广等工作；
2、负责组织相关项目的市场调研、并完成市调报告的撰写；
3、指导完成项目各阶段计划方案的撰写、提报；
4、负责房地产、商业活动相关政策、信息的日常收集、整理工作，形成汇编并定期上报；
5、负责组织项目销售目标及销售计划、推广计划的制订及实施，并控制其时效性，以确保其达成或超越。
6、参与项目产品、客户定位、监控分析等工作；
任职要求：
1、策划相关专业大专及以上学历，有一定的市场判断能力和数据分析能力。
2、熟悉房地产项目策划、商业活动策划，，能够完成前期营销策划报告、推广策划方案、制定项目促销策略；
3、",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81320868,81320868,3714702
天猫商城运营经理,4.5-6千/月,5250,成都兴东商贸有限公司,合资,150-500人,成都市人民北路金牛万达广场甲级写字楼C座10楼1008号,6725,1816,公共交通,1人 | 大专 | 工作经验不限,2017-03-22,"
岗位职责： 1、负责对天猫/淘宝店铺的整体运营，协调各个岗位完成店铺的高效运转和不断提升； 2、负责对店铺的运营推广，包括日常优化； 3、熟悉天猫/淘宝的运营环境，了解其的运营习惯和方式，懂得维护与小二的客情关系； 4、熟悉淘宝/天猫店铺无线端的运营，实现无线端的引流、转化； 5、负责通过不同渠道搜集自身店铺、竞争对手以及行业趋势的数据，最终制定出执行方案并落地执行； 6、能够自主策划重大节日活动、官方资源高效衔接，并进行活动分析和总结； 7、带领运营团队成员完成销售目标，培训团队成员，提高团队士气； 8、与客户进行和谐高效的沟通，妥善处理客户不满及意见、建议，提升客户满意度；  任职要求：",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85344636,85344636,2343280
新媒体运营专员,4.5-6千/月,5250,上海易贷网金融信息服务有限公司,民营公司,150-500人,锦江区东华门正街42号四川广电国际大厦25楼,2701,1381,公共交通,1人 | 学历不限 | 工作经验不限,2017-03-22,"
						工作内容详述：    　    
1、负责官方微博的选题策划及运营；    
2、配合部门同事，拓展其他的新媒体平台并开展运营工作；    
3、协助其他同事及其他部门开展相关工作。
任职要求：    
1、本科及以上学历，优秀者可适度放宽；
2、有一年以上新媒体运营经验（有微博运营经验尤佳），思维活跃，有一定的创新精神；
3、有相对独立成熟的价值观，有相对独特的观察视角，逻辑清晰；
4、对文字较为敏感，对文字背后的情绪和思想有较强的感知能力；
5、语言表达能力出众；
6、可适应加班。
?						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86960910,86960910,4129125
策划经理,4.5-6千/月,5250,成都易居西部不动产投资顾问有限公司,民营公司,150-500人,成都市青羊区提督街99号恒大中心24楼,2271,1180,公共交通,1人 | 大专 | 2年工作经验,2017-03-22,"
岗位职责：1、负责项目开发前期策划工作，如项目定位分析，区域市场市调2、具有公关活动，组织能力，精通推广活动运作3、协调能力强，善于文字表达和语言沟通，具备美术和平面功底更佳 4、负责对项目销售及策划的日常工作岗位要求：1、大专及以上学历，男女不限，形象气质佳；2、有2年以上策划工作经验；3、抗压能力强，积极上进，对工作有激情；4、沟通协调能力强。 ",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=51329841,51329841,2010455
微信运营,6-8千/月,7000,成都正好医学美容门诊部有限公司,民营公司,,大安东路47号正好医美,2768,1495,公共交通,若干人 | 大专 | 工作经验不限,2017-03-22,"
						岗位职责
1、独立运营微信公众号/微博公共号，为粉丝策划与提供优质、有高度传播性的内容；
2、紧跟微信发展趋势，广泛关注标杆性公众号，积极探索微信运营模式；
3、研究公众号推广模式与渠道，与微博运营同事进行有效的合作；
4、充分了解用户需求，收集用户反馈，分析用户行为及需求；
5、对公司产品进行精准营销与服务

任职条件
1、热爱互联网事业，酷爱玩微信、对微信有浓厚的兴趣；
2、具备基础的内容编辑工作经验，包括文字及页面美化；具备成熟的微信工作运营经验，能够完成专题策划、活动执行者优先；
3、具备应对公共突发事件的能力；
4、有较强的数据分析能力，有优秀的文",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83846978,83846978,4144741
商品运营主管,6-8千/月,7000,成都美尔贝网络科技有限公司,民营公司,150-500人,人民北路一段金牛万达甲级写字楼B座29楼,6985,2025,公共交通,1人 | 学历不限 | 3-4年工作经验,2017-03-22,"
						1、定期收集和监控市场及同行产品数据，进行市场预测分析和商品竞争力分析；

2、3、从用户体验出发，发现并挖掘出真正的后台商品体系存在的问题及可优化提升的点，同时形成解决方案并落地执行；

3、组织和规划每个季度每个月整体商品推广计划，对销售结果负责；

4、制定商品扩展策略，确定组合、系列、品类、及价格计划，优化商品结构并保证商品按时上线；

5、负责商品详情页的规划和落地，按时完成商品上下架，管理商品编辑团队，合理安排部门下属员工工作，做好团队建设及工作质效的管理

6、综合协调相关部门，确保商品部门的顺利运营。

我们希望你是这样的：（职位要求）


1、全",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86187536,86187536,3662054
新媒体文案策划1,6-8千/月,7000,成都观真酒业有限公司,民营公司,150-500人,成都市东大街芷泉段229号东方广场C座15楼,1247,182,的士,2人 | 学历不限 | 2年工作经验,2017-03-22,"
						任职资格：1、熟悉白酒或快消品、电商、微商行业，有2年以上的文案工作经验。
                    2、思维活跃、文笔流畅、熟悉各类产品文案、创意广告文案，招商宣传软文等攥写。
                    3、善于发现各类新的传播方式，互动营销方式，话题热点。
                    4、有新媒体社区论坛运营经验优先。
岗位职责：1、负责公司产品类文案的撰写：如：产品卖点提炼，平面宣传物料（海报、车贴、POP)等，产品介绍H5,
                    2、负责项目文案的包装撰写，如：招商手册，招商H5单页，",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85543550,85543550,2410799
分销运营经理,4.5-6千/月,5250,成都威肯商贸有限公司,外资（非欧美）,150-500人,成都市武侯区新希望路七号丰德万瑞中心A座7楼（靠二环路人南立交桥东）,8401,2242,公共交通,2人 | 大专 | 3-4年工作经验,2017-03-22,"
						岗位职责：1、合理利用和维护公司客户资源，通过各种途径开发新客户；  2、与老客户保持联系并定期拜访，进行产品的宣传和销售；  3、分析客户需求，提供针对性解决方案，完成公司销售任务；  4、销售合同的签定和应收款的跟踪。 任职资格 ：1、大专及以上学历，有三年以上服装经销相关工作经验者优先；2、吃苦耐劳，能适应出差，出色的沟通和协调能力，有团队领导能力和协作意识。 ",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=76866985,76866985,503286
宣传策划主管,5-8千/月,6500,成都优易数据有限公司,国企,150-500人,成都市郫都区菁蓉镇静园东路138号（附近）优易数据大厦3F,5121,2007,公共交通,1人 | 本科 | 2年工作经验,2017-03-22,"
						岗位职责：
1、宣传推广：（1）同业、竞争对手等相关市场研究，制定宣传品牌战略，明确定位及目标；（2）品牌 风险控制及危机公关；
2、企业文化：（1）企业主题文化的建设、实施及形象监控；（2）企宣用品策划制作，如企业宣传册、 内刊、门头、办公室氛围等；（3）公司网站、微信、微博策划运营；
3、活动策划：（1）推广展示策划，组织实施，预算报销及效果评估报告；（2）活动策划设计，组织实 施，预算报销及效果评估报告；
4、媒体对接：负责活动的媒体宣传，联系相关媒体团队，做好活动前期的宣传；维护好公司与媒体界的 关系，为公司创造良好社会舆论。
5、上级交办的其他工作。
任职资格：
1、",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85787273,85787273,4251557
广告文案策划,4.5-6千/月,5250,成都市视爵图像设计有限公司,外资（欧美）,500-1000人,成都,5121,2007,公共交通,2人 | 大专 | 工作经验不限,2017-03-22,"
						岗位职责：
1. 负责线上运营推广所需文案
2. 协助公司各类宣传方案、活动方案的设计和撰写
3. 协助运营各类推广文案、对外媒体的文字撰写
4. 负责公司的自媒体平台内容更新与维护56. 社交媒体深度用户，热爱并熟悉主流社交媒体，如微信、微博、豆瓣、知乎等，有自媒体特别是微信公众号运营经验优先；
5. 了解微信等新媒体及自媒体平台等传播方式，能够围绕这些新媒体进行一定的线上传播或活动策划
6. 完成领导安排的其他工作

任职资格：
1、大专以上学历，文案策划、广告策划等相关专业毕业；
2、具备上佳的文字功底和创意想象力，执行力强、能独立撰写方案；
3、熟悉口碑营销等网络推广方",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85444945,85444945,4214661
文案编辑/新媒体运营,6-8千/月,7000,成都冠城实业集团,民营公司,500-1000人,成都顺城街308号冠城广场38F,3574,1706,公共交通,1人 | 大专 | 3-4年工作经验,2017-03-22,"
						岗位职责：
1、负责官方微信公众平台的日常运营维护；
2、负责微博、微信、官网等新媒体平台的文案撰写、更新，保持内容的及时、全面和专业性；
3、负责微信、微博线上热点及活动等推广方案，通过有效的运营手段推广微信公众号、提升粉丝、用户的活跃度；
4、根据业务需要和市场推广计划完成各类文案的撰写，包括手册、企业宣传册、广告、活动等方面的文案；
5、在相关行业网站和论坛上定期发布信息，宣传公司品牌，收集行业信息；
6、配合市场部活动安排以及上级指派的其他推广任务。
 
任职要求：
1、新闻学、中文、广告、市场营销等相关专业专科以上学历，熟悉移民、留学行业者优先考虑；",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81770183,81770183,1991720
孵化器 运营主管/专员,4-6千/月,5000,成都新尚置业集团有限公司,民营公司,500-1000人,人民南路四段一号成都数码广场,5252,1691,公共交通,1人 | 大专 | 工作经验不限 | 英语 良好,2017-03-22,"
						经历：有咖啡店面经营相关工作经验优先（优秀者可适当放宽条件）。

技能：1、形象气质佳、团队意识强、工作细心、做事务实、责任心强；                                                        
2、有优秀的活动组织能力，思维敏捷，具有创新能力；                                                       
3、具有出色的沟通能力及表达能力；
4、熟练使用Office办公软件；

岗位职责：1.调查和了解市场情况，掌握咖啡厅经营情况；制定短期经营目标和经营计划；安排下属班次，合理分工",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85738670,85738670,3356547
内容运营,4-6千/月,5000,广东品胜电子股份有限公司,民营公司,1000-5000人,成都市武侯区人民南路四段1号数码广场时代数码大厦A座26楼,5190,1642,公共交通,1人 | 大专 | 工作经验不限,2017-03-22,"
						岗位职责：
1、公司内容聚合类平台不同栏目内容维护；
2、 策划、编写手机3C数码科技类产品的日常保养，故障处理，类目常识，用户案例等知识库内容，及各栏目相关内容；
3、 保证内容专业性的持续输出，并实现内容用户的转化。
任职要求：
1、2年以上互联网媒体策划、编辑、撰文类工作经验；
2、手机发烧友及数码科技控；
3、具备较强的文案编辑组织能力和信息鉴别能力，擅长互联网化的内容互动；
4、爱好广泛、阅读量大，良好的沟通力与协作意识。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86164983,86164983,2017602
房地产策划师/策划主管,4.5-6千/月,5250,北京金网络联行地产顾问有限公司成都分公司,民营公司,150-500人,锦江区东门大桥时代1号2001,1309,1349,公共交通,若干人 | 学历不限 | 2年工作经验,2017-03-22,"
						工作职责：
1、协助撰写专项及月度市场调查报告；
2、协助制定及落实项目阶段性营销策划、推广；
3、协助制定地产项目之营销策略，协助策划经理完成项目日常提案、沟通及客户关系维护;
4、项目营销方案的执行；项目产品定位分析;
5、楼书、DM单等各种宣传资料、活动的准备、实施工作；；
6、与合作单位沟通接洽.

任职要求:
1、26-35岁，广告、市场营销、建筑及经济专业优先考虑，大科以上学历。
2、具有较强的沟通表达能力。
3、了解房地产营销策划基础、市场调研、广告设计、制作工艺，1年以上房地产开发或代理公司策划经验。
4、熟悉的电脑应用技能，包括常规软件WORD、EXCLE、A",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83170240,83170240,3396766
文案策划主管,5-8千/月,6500,成都普瑞眼科医院股份有限公司,民营公司,150-500人,成都市一环路北四段215号(城北加油站旁边),5313,1827,公共交通,2人 | 学历不限 | 工作经验不限,2017-03-22,"
						任职要求：
1. 广告、营销、传播、中文等相关专业本科以上学历；
2. 三年以上互联网、广告公司、公关、媒体行业或者企业市场部策划工作经验；


岗位职责：
主要负责医院的相关品牌、活动策划，以及媒体运作等工作：
1. 根据年度的品牌传播计划，进行相应节点的推广活动策划与执行；
2.各类市场对外宣传资料和文案、相关新闻报道的策划和方向把控，并参与部分撰写工作；
3. 医院官网、微信公众平台、以及各类媒体推广工作的策划与执行；
4. 医院内部各科室平面展示的策划、制作跟进；
5. 竞争对手传播策略的研究，并根据研究结果提出传播推广的改进建议。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=79846342,79846342,2404536
品牌文化专员,4.5-6千/月,5250,成都基准方中建筑设计有限公司,民营公司,1000-5000人,锦江区琉璃路8号华润广场A座7-15F,5414,2456,公共交通,2人 | 本科 | 1年工作经验,2017-03-22,"
						职位描述：

1、 参与公司内刊策划及制作；

2、 微信、微博等新媒体平台的内容创作与发布；

3、 参与日常接待、各类会议、活动，采集素材并撰写新闻；

4、 参与公司品牌及产品文案撰写：新闻稿、宣传软文；

5、 各类宣传稿件的编辑、审核，及宣传台帐管理；

6、 公司宣传平台（内、外网、手机网）的信息发布及维护；

6、公司品牌及文化发展图文声像资料的归档管理。

7、团队协作，配合部门完成相关工作。

任职要求：

1、 中文、新闻、传播等相关专业，本科以上学历；

2、 一年以上媒体/网络媒体的记者/编辑工作经验（有企业内刊工作经验优先）。

3、 具备摄影、摄像能",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86364831,86364831,2999839
品牌推广经理/主管,6-8千/月,7000,成都美景舒适家居有限公司,民营公司,1000-5000人,成都市,5121,2007,公共交通,2人 | 本科 | 3-4年工作经验,2017-03-22,"
						岗位职责
1、公司品牌的管理与推广
2、销售类活动的创意、策划与执行
3、媒体的选择、投放以及关系维护
4、带领和管理好本小组员工，完成部门制定的工作目标，并在工作中形成良好的氛围
岗位要求
1、年龄：25——35岁
2、本科及以上学历
3、3年以上市场或媒体工作经验，2年以上主管工作经验
4、具有较强的公关能力、市场策划能力、品牌管理能力、演讲能力、影响力
税后薪资：8000——10000元/月

亦可于2016年11月19日和20日至新会展中心现场招聘会面试，展位号：8C134S						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=61368365,61368365,2496994
活动策划专员,6-8千/月,7000,上海易贷网金融信息服务有限公司,民营公司,150-500人,锦江区东华门正街42号四川广电国际大厦25楼,2701,1381,公共交通,若干人 | 学历不限 | 工作经验不限,2017-03-22,"
						工作内容祥述：    　
1、铺排成都市可利用的企业资源，置换免费和低费用的企业宣讲会，供产品/品牌宣传使用；
2、公关活动策划并对接执行落地活动。
3、管理监督公司市场拓展费用预算与使用，严格控制费用以及本部门管理事项
4、与合作方展开线上活动合作，对执行过程进行全程监控指导；
5、完成领导交办的其他任务。
任职要求：
1：2-6年以上活动策划执行相关经验，具备广告公司及互联网行业就业经历尤佳。
2：有大型活动策划及推广经验，有2-3场独立策划的活动方案。
3：有品牌公关活动经验者优先考虑。
?4：性格开朗，创意脑洞大，执行认真且主动。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85515586,85515586,4129125
品牌主管,6-8万/年,5833.33,四川省国嘉物业服务有限公司,民营公司,500-1000人,成都市春熙路步行街小科甲巷1号[第一城]B座32楼,1382,940,公共交通,1人 | 大专 | 工作经验不限,2017-03-22,"
						岗位职责：

1、负责VI、宣传片、画册等宣传物品的策划、设计；

2、品牌形象在服务渠道的应用和服务场景的标准化包装；

3、负责组织企业及专属资源的参评参展、公共公益活动。

4、根据品牌及客户关系推广及维护策略，策划品牌及客户关系活动及组织开展；

5、协助地产集团推进专项品牌及公益活动；

6、根据年度满意度调查结果，协助拟定满意度考核目标、整改方案及推进策略；

7、督促项目依据满意度结果制定符合自身特性的提升计划，并抽查验证，实施结果运用；

8、根据阶段性的满意度调查情况，组织召开专题会议，阶段性推进满意度的提升；

9、根据满意度调查结果，纳入绩效考核。


任",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85125118,85125118,2349242
运营督导岗,4.5-6千/月,5250,中国平安人寿保险股份有限公司四川分公司,上市公司,1000-5000人,成都市人民南路三段一号平安财富中心11F,5134,1714,公共交通,1人 | 大专 | 1年工作经验,2017-03-22,"
						工作地区：

成都

工作职责：

1、后援运营全方位支持；

2、续期收费及服务。

 
资历要求：

1、年龄在22岁－35岁；

2、大专（含）以上学历；

3、住所位于成都、达州。

4、相貌端正、身体健康、吃苦耐劳；

5、语言表达能力较好，人际沟通能力较强；

6、性格温和、待人热忱，积极向上；

 
福利待遇：

1、签订正式劳动合同，享有平安人寿正式内勤员工的福利待遇；

2、接受公司系统、完善、持续的培训；

3、公司提供五险二金（公积金和企业年金）、带薪年休及平安员工综合保障。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86958181,86958181,3303935
活动策划专员,4-6千/月,5000,北京丹凤眼国际眼部理疗美容连锁机构成都分公司,民营公司,150-500人,成都市一环路北一段88号新熙门财富中心13楼,6765,2284,公共交通,2人 | 本科 | 工作经验不限,2017-03-22,"
						职位描述：
1、与对接方就活动内容与细节确定进行良好有效的沟通，促进活动的落实与推进实施； 
2、完成策略、创意方案的撰写工作；
3、参与活动前期筹备（如与供应商沟通、与场地方谈判，准备及分发物料）；
4、参与活动现场的管理，解决突发问题； 
5、负责活动各类文件、数据和照片、视频的汇总、整理，完成活动报告。
任职要求：
1、本科以上学历，专业不限；
2、具备优秀的人际沟通和语言表达能力、灵活机智的处事能力，及优秀的客户维护能力； 
3、熟练操作各种办公软件，如Word, Excel, PowerPoint等； 
4、具备良好的文字功底，具备活动方案的撰写能",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86911295,86911295,2768277
策划师（蒲江大溪谷项目）,4.5-6千/月,5250,花样年实业发展（成都）有限公司,上市公司,150-500人,成都市人民中路三段二号四川安装大厦12楼,5204,1643,公共交通,1人 | 大专 | 工作经验不限,2017-03-22,"
						2年以上经验，熟悉房地产市场，了解相关房地产营销知识；有跳跃性思维，擅长沟通协调，有一定的文字功底，能深入细节。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84895057,84895057,2381373
市场品牌推广主管,4-6千/月,5000,成都诚悦时代物业服务有限公司,民营公司,1000-5000人,成都市总府路2号时代广场10楼1007室,1185,783,公共交通,1人 | 本科 | 3-4年工作经验,2017-03-22,"
岗位职责：1.配合公司品牌推广战略，协助制定公司品牌推广计划、品牌策划方案及落地工作；2.负责设计和制作符合公司品牌推广策略的宣传资料，按公司需求及时提供相关资料和其他配合；3.开发和维护外部媒介、行业相关资源，与各方建立良好的合作关系，有效实施公司品牌传播，统筹公司企业品牌形象所涉及到的层面；4.负责产品发布会、各项推广活动、展会参与、行业内会议参与等活动的策划、创意、文案撰写与执行，及时反馈活动信息，及时调整并提升推广成效，提升整体品牌在社会的认知度和美誉度；5.定期进行市场信息的收集和整理以及分析工作，提出合适的市场品牌推广方式；6.负责维护公司的企业文化和经营理念，塑造企业形象；7.",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81312024,81312024,2370898
文案策划,4-6千/月,5000,心田花开学校,民营公司,150-500人,成都市人民东路48号四川物资大厦4楼（天府广场仁和春天对面，与管家圣瑞酒店同楼）,2607,1306,公共交通,1人 | 本科 | 1年工作经验,2017-03-22,"
						（了解更多心田花开招聘信息 ，请关注微信公众号： 成都心田花开招聘 CDXTHK-ZP，另在校大学生可加入求职交流群：419590861 了解更多***、实习招聘信息）
一、岗位职责：
1、 负责企业网站整体的设计、内容格式的策划和编排；
2、负责相关资料和信息的收集、编辑、审校；
3、网站文案的创作、策划、编写、填充和推广宣传；
4、及时在网站发布企业的各种信息，更新网站相关内容，维护网站。
二、任职要求：
1、 新闻、中文、市场营销、传播学等相关专业；
2、具有良好的文字功底，较强的文案采编、撰写能力；
3、懂得线上营销、SEO基础知识，会使用图形图像处理软件和相关编辑软件",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=58068622,58068622,3149534
网络运营专员,4.5-6千/月,5250,戴氏精品堂培训学校,民营公司,10000人以上,顺城大街顺吉大厦8楼,2894,1398,公共交通,1人 | 大专 | 1年工作经验,2017-03-22,"
						岗位职责：
1、负责公司品牌和相关产品活动推广。
2、互联网口碑营销及维护。
3、对推广营销效果进行跟踪、统计、调整。
4、负责论坛、微博、微信等平台的信息发布与管理。
5、负责网络推广文案的撰写。
6、负责学校网站内容的管理与更新。
职位要求：
1、计算机相关专业，大专以上学历。
2、1年以上网站推广工作经验，有教育培训行业优先。
3、具备论坛，微信，微博等推广渠道实战经验。
4、责任心强，有耐心，能承受高强度工作压力。
5、有一定文字撰写能力。
周末双休 高底薪 高提成
工作地点：金牛区蜀汉路						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87060632,87060632,2786925
品牌推广主管(翡翠),5-6千/月,5500,成都追银族饰品股份有限公司,民营公司,500-1000人,成都市人民中路三段2号万富大厦17楼（文殊坊地铁B出口旁）,5184,1627,公共交通,1人 | 大专 | 3-4年工作经验,2017-03-22,"
						岗位职责：
1.管控微信及微博自媒体的日常推送，产品推荐，线上活动及粉丝互动的正常开展；
2.管控百度推广，及品牌新闻类网络推广，品牌网络环境（论坛、新闻等信息源）优化；
3.传统媒体、网络媒体、新媒体、直播、视频等宣传资源的梳理、分析并根据需求提交策划媒介购买方案、公关方案、执行方案。
4.撰写相关媒体发布文章。
5.媒体异业合作资源管理，策划网络品牌间合作的推广活动；
6.协助品牌活动对公司内部宣传。

任职资格：
1.大专及以上学历三年以上媒介管理工作经验，有品牌方媒介管理经验优先；
2.熟悉传统媒体、网络媒体、自媒体、新媒体、户外媒体等媒体渠道，并有过",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86826043,86826043,3023608
文案策划,4.5-6千/月,5250,四川亿鑫鲁班建筑装饰有限公司,民营公司,150-500人,四川省成都市金牛区营门口路188号,7555,2500,公共交通,3人 | 学历不限 | 工作经验不限,2017-03-22,"
						1、新闻学、传播学、中文、经济管理、广告类相关专业以及有市场策划及文案工作经验优先；
2、有市场策划及文案工作经验优先；
3、能够准确捕捉产品亮点，具备恰如其分的文字表现能力；
4、熟悉专业创意方法，思维敏捷，洞察力强，文字功底扎实，语言表达能力强。
5、具备良好的逻辑思维和沟通表达能力，善于团队合作；
6、脑洞大开患者：创意思维活跃，能够将无关的线索整合成一个有趣严谨的故事，须有代表性创意作品
 职位描述：
1、负责公司营销活动、推广文案的撰写与策划执行，包括进行微博、微信软文撰写；
2、负责公司相关产品的文案提炼策划；
3、负责搜索整理项目所涉及的各类资料",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82855911,82855911,4101874
新媒体文案策划专员,4-6千/月,5000,成都和胜餐饮酒店管理有限公司,民营公司,500-1000人,成都市,5121,2007,公共交通,1人 | 大专 | 1年工作经验,2017-03-22,"
						岗责表述：
1.管理并运营微信、微博、知乎、贴吧、百度等社会化媒体平台，负责日常内容的撰写、编辑、发布、 排版等；
2.管理并运营美食自媒体和论坛宣传渠道，负责美食文案和图片的撰写、编辑、排版 、发布、顶贴等；
3.对外卖及其他有顾客留言的平台进行回复、记录、解决顾客疑问或投诉；
4.提高粉丝活跃度，与微信的粉丝做好互动，对微信粉丝的网络行为进行分析与总结；收集分析竞品、其他微信的运营五、情况及最新活动信息；
5.挖掘和分析用户使用习惯、各类推广牵引效果、情感及体验感受，即时掌握相关热点，匹配专题策划、活动；
6.建立和维护品牌网络社群，提高社群活跃度，推行线上线下",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81704618,81704618,2473283
策划主任,5-8千/月,6500,保利地产投资顾问有限公司成都分公司,国企,150-500人,成都市武侯区人民南路四段领事馆路7号保利中心北塔27F,7241,2047,公共交通,4人 | 本科 | 3-4年工作经验,2017-03-22,"
						保利地产投资顾问有限公司成都分公司因业务发展需要，需招聘4名有房地产策划经验的策划主任及高级主任。
岗位职责：
1、 参与制定并执行项目前期定位、中期热销、后期收官阶段的全程营销方案，包括但不限于项目定位、定价、促销及推广方案等；				
2、进行市场分析、地块分析、项目分析、竞品分析与监控等；				
3、协调内外部合作关系、利用内外部资源，促成营销业绩达成；				
4、参与销售现场管理工作，包括人员招聘、培训、销售考核、团队建设、客户维护、拓展等；				
5、上级安排的会议组织和报告撰写等工作。				
任职资格：
1、本科及以上学历，市场营销、策划类等相关专业毕业；
",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85491766,85491766,2144770
