"('job_Name',)","('job_Wage',)","('job_AverWage',)","('company_Name',)","('company_Nature',)","('company_Scale',)","('company_Address',)","('company_Distance',)","('company_Duration',)","('company_Traffic',)","('job_PeopleNum',)","('job_Issue',)","('job_Article',)","('job_Link',)"
集团储备干部(经理助理、人事招聘、团队长、策划),10-15万/年,10416.67,太平人寿保险有限公司四川分公司,国企,10000人以上,青羊区顺城大街308号冠城广场,3166,1616,公共交通,16人 | 本科 | 1年工作经验,2017-02-23,"
						职位描述：
国家副部级央企，三年再造之后迎来全新的三年“高素质、高绩效、高品质”战略发展计划，欢迎您的加入！

职业规划：
1.中高层管理者
2.职业理财师
3.集团培训讲师

面试流程：
1、初试：职业性向测试，结构化面试
2、复试：无领导小组讨论，笔试
4、终试：公司高层压力面试

任职资格：
1、本科及以上学历，1年以上工作经验，年龄在22-45周岁，海归、硕士优先；
2、了解经济、金融、管理等专业知识（不熟悉者要接受本公司培训），有金融会计、人力资源、行政工作、培训讲师经验者优先；
3、具有较强的沟通与组织协调能力及亲和力；
4、具有良好的语",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81381696
链家地产策划师,6-8千/月,7000,四川链家房地产经纪有限公司,民营公司,10000人以上,武侯区二环路西一段中海大厦12楼,10296,3170,公共交通,若干人 | 大专 | 2年工作经验,2017-02-23,"
						岗位职责： 1、进行竞品市场调研，形成分析报告，组织培训； 2、能对项目提出营销策略方向建议、推广活动、销售政策支持建议等； 3、对案场高销进行行业专业知识、区域规划、市场动态信息等培训，帮助解决一线问题； 4、搜集项目客户问卷，撰写客户分析报告，组织培训； 5、辅助策划经理进行专项大型报告的撰写工作； 6、协助公司其他版块业务进行技术和数据支持工作。 任职资格： 1、 25岁以上，本科以上学历，经济、金融、管理、房地产、市场营销等相关专业优先； 2、 具备良好的策划能力和管理素质，有专业代理公司策划经验者优前考虑； 3、 熟悉各种房地产产品的特性，有大型全程营销策略报告的撰写",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84374093
运营策划经理,6-8千/月,7000,尚作有机,民营公司,500-1000人,成都市青羊区工业集中发展区G区7栋5楼,11889,3570,公共交通,1人 | 大专 | 3-4年工作经验,2017-02-23,"
						岗位职责：
1、负责拟定项目整体营销活动年度、季度、月度计划；
2、负责项目营销活动的全程策划、执行；
3、负责结合联营商家等资源拟定组合促销政策；
4、负责协助项目联营商家引进和更新维护。

任职要求：
1、2年以上商超运营或策划及执行经验，大专及以上学历，市场营销等相关专业优先；
2、有商业招商（如餐饮、烘焙等）工作经验优先，有大型品牌综合项目运营管理经验更佳；
3、熟悉大型商业广场或者购物中心开业前期筹备相关工作；
4、具备良好的商业策划、分析能力，较强的公关能力、抗压能力、客户意识，高度的协调及商务谈判能力。



员工福利及奖励： 精致的基础福利，",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84336600
市场策划,4-8千/月,6000,贵州千禧绿色环保出租汽车服务有限公司成都分公司,民营公司,500-1000人,成都市高新区天府大道中段500号东方希望天祥2栋13层,15099,2902,公共交通,1人 | 本科 | 工作经验不限,2017-02-23,"
						知识要求：本科及以上学历，市场营销、电子商务、中文、广告等相关专业； 熟悉各类营销工具
技能要求：熟悉活动策划流程，有较强文案撰写能力和营销策划能力；熟练掌握office系列办公软件；
思维特征要求：拥有独立思考和解决问题的能力，具有打破常规，创新意识，强大的资源整合策划能力
个性特征要求：做事认真主动积极，认真负责，有耐心，能吃苦耐劳；有很强的计划性和执行能力；有团队意识和良好的沟通能力
其他条件、要求：有2年以上策划与活动执行或项目经验优先；简历请附上相关作品或链接

岗位职责描述：
１、负责市场品牌（销售）活动、商务合作活动线上线下推广方案的撰写、资源对接及合作
２、负责",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84289560
市场策划主管,8-10万/年,7500,四川省中亿孕婴用品贸易有限责任公司,民营公司,500-1000人,成都市武侯区锦绣路1号保利中心大厦东区B栋2层,5368,1927,公共交通,1人 | 大专 | 2年工作经验,2017-02-23,"
						岗位职责：
1.负责所辖范围活动的策划案制定、宣导、监督
2.负责对所辖人员进行培训、指导、提升、考核、管理
3.负责与各部门沟通协调终端策划案实施相关事宜
4.负责独立撰写策划案以及撰写广宣传所需的各类文案
5.负责监督所辖范围内的策划案实施，宣传和广宣设计工作。
任职资格：
1.大专以上学历
2.具备零售行业2年以上的策划管理经验。
3.责任心强，执行力强，团队意识强。
4.沟通表达能力强，人际关系相处融洽						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85447002
策划主管,6-8千/月,7000,四川嘉宝资产管理集团股份有限公司成都分公司,上市公司,1000-5000人,四川成都,,,,若干人 | 大专 | 工作经验不限,2017-02-23,"
						岗位职责：
1、负责业务营销策划方案编写；
2、负责营销活动执行及过程监督；
3、负责业务品牌线上线下设计包装及推广；
4、负责对联业务品牌广告制作

任职资格：
1、大专及以上学历，熟练使用office办公软件（ppt运用熟练）；
2、具备较强的文案功底，协调沟通能力强；
3、具备一定的平面设计能力；
4、有app推广能力者优先。
联系人：钱老师 15982288431						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85140519
广告策划（企业文化类）,6-8千/月,7000,深圳普惠快捷金融服务有限公司,民营公司,5000-10000人,成都高新区天府大道北段1700号环球中心N2区1702室,12035,3047,公共交通,1人 | 本科 | 2年工作经验,2017-02-23,"
						招聘要求：
1、负责公司员工活动策划（线上、线下）并组织实施，重激励、互动性强。
2、建立企业文化体系
3、视频剪辑、平面设计
4、各类文案撰写

所需技能：PS、CorelDRAW、AI、Pr、AE						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85029436
商业策划,20-30万/年,20833.33,成都鲁能置业有限公司,国企,1000-5000人,成都市成华区崔家店路257号,5369,2556,公共交通,1人 | 本科 | 工作经验不限,2017-02-23,"
						岗位要求：
1.本科及以上学历
2.5年及以上工作经验；
3.具有完整的商业策划经验，对于项目从前期定位、中期招商、后期营运推广均有管理经验与管理成果；
4.沟通协调能力强、表达、抗压能力强						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84877277
策划部经理,0.8-1万/月,9000,丹秋教育集团（名师堂学校）,民营公司,1000-5000人,总部：成都市青羊区顺城大街269号富力中心四楼,2694,1449,公共交通,1人 | 大专 | 3-4年工作经验,2017-02-23,"
						岗位职责：
1、负责集团营销中心策划部工作统筹、推进和管理。
2、负责集团项目中心及未来新增项目的策划。
3、负责集团品牌的策划运营和升级推广。
4、负责文案策划团队的培养和提升。
任职要求：
1、有策划部经理岗位工作经验3年以上。
2、有品牌运营推广和维护工作经验。
3、有大型公关活动筹备策划和执行经验。
4、有教培业工作经验***。
5、性格开朗善于交流沟通，写作动手能力较强。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85779850
策划总监,10-20万/年,12500,青海春天药用资源科技股份有限公司,上市公司,1000-5000人,成都市武侯区人民南路四段新希望大厦2102,8020,1937,公共交通,1人 | 本科 | 3-4年工作经验,2017-02-23,"
任职要求：1. 本科以上学历，五年以上产品策划经验，知识面广泛； 2. 沟通、协调能力强，语言和文字表达能力出色，具有新闻媒体或媒体公关公司从业背景优先； 3. 有较强的市场感知能力，敏锐地把握市场动态、媒体动态、市场方向的能力； 4. 具备大型活动的项目管理能力，擅于整合各种资源； 5. 工作地点以成都为主，能适应出差。 岗位职责： 1. 根据公司战略，制定市场推广及策划方案，并组织实施； 2. 通过品牌分析与定位、市场活动策划与公关，提升品牌知名度与美誉度； 3. 新闻稿件、广告软文、广告文案的撰写与调整、审核；4. 重要市场项目、公共活动策划； 5. 组织市场及行业发展调研和分析，把握",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=46633958
销售策划部副经理,15-20万/年,14583.33,成都富力地产开发有限公司,上市公司,500-1000人,成都市顺城大街269号富力中心17楼,2694,1449,公共交通,1人 | 本科 | 5-7年工作经验,2017-02-23,"
工作职责： 1.对各项目的策划、销售方案把关，促进公司销售业绩的提升； 2.制定每月（周）促销计划、工作计划；制定每月推广费用的预算表及媒介安排，每周跟进平面广告的定稿及确定户外广告、电视、广播等制作；检查现场情况及确定现场推广布置方案； 3.与内部相关部门（工程技术部、物业公司）协调，推动售楼部、样板房等按要求交付使用。；4.协助部门领导完成相关工作。任职资格： 1.40岁以下，大学本科以上学历，市场营销或房地产相关专业； 2.5年以上房地产行业工作经验，有同岗位管理经验者优先； 3.具备房地产项目全程策划销售经验，包括项目的规划设计、户型装修等产品设计、宣传推广策略的制定、销售策略等，熟",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=68270379
策划主管,6-8千/月,7000,国际私塾,合资,1000-5000人,成都市高新区新世纪环球中心E5区615室,13912,2950,公共交通,1人 | 大专 | 2年工作经验 | 英语 熟练,2017-02-23,"
						岗位职责： 
1、负责品牌大型活动策划及，以及相关活动的执行；
2、负责渠道活动的洽谈，并与外部机构建立合作关系； 
3、负责媒体公关及相关活动的组织； 
4、负责公司广告制作及创意内容审核； 
岗位要求： 
1、策划类专业大专及以上学历，25岁以上； 
2、两年以上策划管理工作经验，教育培训行业优先考虑； 
3、思路清晰、文采出众，能提供成熟的营销推广策划案； 
4、沟通能力强，与外媒、公司各业务部门保持良好的沟通； 
5、较强的谈判能力及组织协调能力； 
6、有活动主持经验。

在这里，您可以享受到：  
1、行业内具有竞争力的薪酬和福利待遇，综合收入高于同行业20%及以上",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=57385818
营销策划总监,20-30万/年,20833.33,四川红泰房地产开发有限公司,民营公司,500-1000人,成都市清江东路8号清江花园综合楼四楼,6516,1976,公共交通,1人 | 本科 | 10年以上工作经验 | 英语 良好,2017-02-23,"
						工作内容:
一、集团工作；
1、参与制定公司的发展战略、经营战略和经营计划，优化集团标准化管理及文化建设；
2、参与公司发展规划、业务经营计划的编制和公司重大决策的讨论；
3、协助总裁作战略研究、产业研究、细化公司意图，对公司成果组织培训与督导；
4、负责制定公司产业链的产品设计、经营定位、商业模式、盈利模式等；
5、负责制定并落实公司项目招商、融资的资源整合及宣传推广工作；
6、负责组织并主持公司授权下大型推广会工作（项目招商会、产品推介会、新品发布会、项目融资会等）；
7、负责公司的品牌建设管理（公司品牌建立、品牌应用管理、品牌价值管理）。
二、部门工作
8、负责营销策划部",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=78160343
金融产品策划执行岗,6-8千/月,7000,华西证券股份有限公司成都高升桥路证券营业部,国企,1000-5000人,武侯区高升桥路9好罗浮广场3楼,8323,2376,公共交通,1人 | 学历不限 | 工作经验不限,2017-02-23,"
						1、业务工作的信息技术支持；
2、数据分析和支持；
3、公司金融互联网相关技术的应用和培训支持；
4、项目的策划和执行推广。

岗位要求：
1、大学本科学历，计算机专业毕业，研究生学历优先；
2、年龄30岁以下，***；
3、有一定的软件编程能力和数据分析能力；
4、熟悉移动互联网相关技术，有相关工作经验者优先；
5、有较强的协调沟通能力，勤奋好学，乐于助人；
6、需要考取证券从业资格。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81956473
社工部经理（居民活动策划方向）,1.5-2万/月,17500,泰康之家（北京）投资有限公司,民营公司,1000-5000人,东三环泰康金融大厦,8868,2764,公共交通,1人 | 学历不限 | 5-7年工作经验,2017-02-23,"
						1、负责组织开展老年教学与活动服务研究，结合社区居民特点与需求，提升定制化特色；
2、负责处理居民关于教学和活动的投诉及意见反馈，关注高频投诉点，梳理并优化社工部服务标准与流程；
3、负责在公司决策范围内，拟定社工部各部门服务标准及各项规章制度；
4、负责拟定各模块预算方案和运营指标，审阅相关报表，进行运营分析，完成报告供公司决策参考；
5、负责协调部门内部各模块工作，确保各项工作协调一致顺利进行；
6、负责提供社区社工部人力需求、岗位说明等，配合并落实事业部人力招聘、定岗、定编工作；
7、负责制定部门培训计划，并于各业务模块中组织开展相应专题培训，提升员工服务水平；
8、负责",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84902154
市场策划经理,0.8-1万/月,9000,戴氏教育集团,民营公司,10000人以上,成都顺城街顺吉大厦九楼A2,2878,1386,公共交通,若干人 | 大专 | 工作经验不限,2017-02-23,"
1、负责制定片区品牌营销战略、发展规划，综合分析市场各方面的信息，并根据各阶段需求提出相应的销售计划和销售方案；2、负责营销目标和计划达成，保证项目及工作的计划性，按时保质保量完成工作任务；3、负责线上、线下活动的组织与策划与执行，并对效果进行评估；4、及时进行市场信息及客户资料的收集、整理、反馈5、 筹划开展各类公益活动讲座，扩大品牌影响力，引导潜在客户群体；6、全面组织与优化片区市场体系。任职要求：1、大专以上学历， 市场营销、企业管理类专业；2、 3年以上营销策划、互联网营销或者教育行业工作机构工作经验优先3、 对市场营销工作有较深刻认知；有较强的市场感知能力，敏锐地把握市场动态、市场",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=77470368
策划经理,1.5-2万/月,17500,四川蓝光和骏实业有限公司成都分公司,上市公司,10000人以上,高新西区西芯大道9号,3715,1555,公共交通,1人 | 大专 | 工作经验不限,2017-02-23,"
						岗位职责：
1、对项目基础营销管理业务结果负责；
2、全面完成项目营销策划各项策略并保证执行；
3、根据项目需要，全面协助项目成员完成营销工作推进。
任职要求：
1、大专及以上学历
2、房地产、营销、工商管理等相关专业
3、三年及以上相关工作经历（甲乙方房地产策划经验丰富）
4、拥有一线地产完整项目策划经验优先考虑。

福利待遇：
1、入职当月缴纳五险一金，享有年终奖、餐补、油补、通讯补贴、过节费、带薪年假等各项福利；
2、提供各种培训及节日福利，更有丰富多彩的员工活动；
3、公司提供健全完善的岗位晋升制度。
欢迎来电咨询：0817-2270725		",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84490227
企划专员（平面、UI设计及文案策划方向）,6-8千/月,7000,四川盖亚诊所连锁股份有限公司,民营公司,1000-5000人,成都市高新区天府大道中段530号2栋16层1601号,15057,2867,公共交通,1人 | 大专 | 3-4年工作经验,2017-02-23,"
						岗位职责 1、 协助项目进行产品界面设计； 2、 对公司网站界面进行设计修改，协助进行网站更新及维护工作； 3、 协助各业务部门制作PPT、产品演示版本等； 4、 协助运营总监进行平面、动画制作类的相关标准制定以及流程的制定及创新工作； 5、 负责公司文案写作、CI、产品包装、广告宣传等的美术设计制作等； 6、 其他相关美术设计方面的工作； 7、熟悉摄影及摄像并熟练运用软件进行剪辑制作。 任职资格 1、 美术、平面设计相关专业，大学专科及以上学历； 2、 有5年以上相关工作经验； 3、 熟练掌握Flash、Fireworks、Dreamweaver、Photoshop、Core",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=80279724
商业策划经理,1-1.5万/月,12500,正黄集团有限公司,民营公司,500-1000人,四川省成都市二环路南三段5号人南大厦B栋2楼,6851,2553,公共交通,1人 | 大专 | 工作经验不限,2017-02-23,"
						岗位职责：
1、完善策划部的管理制度，保证策划部运转，职业道德和敬业精神；
2、负责对部门下属的人员进行培训、指导、提升、考核、管理及监督；
3、负责公司项目整体策划工作；负责商管中心所管辖项目市场调研工作组织开展及调研计划制定；
4、根据公司总体战略与目标要求，制定工作计划、把控工作流程，并对工作效率与质量负责；
5、负责公司商业项目商业产品建议方案、商业定位报告等方案编制；
6、管理及管控商管中心外协合作机构，监督及控制媒体、广告公司、活动公司及制作公司的工作执行及效果；建立广告、媒体合作关系，建立商管系统媒体信息资源库；
7、制定年度推广活动的策划与实施，并",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81653144
策划经理（商业）,0.8-1万/月,9000,四川中原物业顾问有限公司,外资（非欧美）,1000-5000人,成都武侯区火车南站西路27号英联国际商务中心15层,8698,3057,公共交通,1人 | 大专 | 工作经验不限,2017-02-23,"
						工作职责： 1.熟悉商业销售、招商流程，对商业信息敏感；  2.思维活跃，喜欢了解不同的事物，对互联网运营模式熟悉； 3.对市场及竞争产品的变化进行及时分析，并给出合理的思路及意见 4. 对各商家类型、运营模式等熟悉 5.撰写全程策划报告、定位报告、规划建议、执行报告 6.做好公司与外部策划公司及媒介等的沟通协商工作 7.完成上级领导交办的其他工作 任职要求： 1、房地产行业4年以上从业工作经验； 2、具有较强执行能力，优秀的沟通以及协调能力； 3、具有2个以上商业项目开发、运作案例和经验； 4、熟悉房地产开发相关法律和法规； 5、对商业市场有较强的兴趣，有强烈的成就感欲望； ",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84762580
市场策划主管,4.5-8千/月,6250,成都金中科技有限公司,民营公司,500-1000人,成都高新区天仁路178号和平商务楼一楼,10067,2774,公共交通,1人 | 本科 | 5-7年工作经验 | 普通话 ,2017-02-23,"
						岗位职责：
1. 根据公司运营目标，制定市场营销策略，策划营销活动方案并组织实施；
2. 整合市场营销、网站运营等资源，负责广告、促销等商务策划与文案、创意的撰写；
3. 利用各种渠道进行公司品牌、产品的推广，负责各类宣传、推广材料的组织与整理；
4. 负责现有市场分析和预测，分析客户需求，从客户角度挖掘产品卖点，提炼产品的核心竞争力。

任职要求：
1.本科以上学历，5年以上零售行业相关工作经验，有通讯行业经验者优先；
2.具备互联网营销策划能力、活动推广、提案、沟通能力，强烈的工作责任心；
3.熟悉相关网络语言和互联网市场概念，熟悉网络营销渠道资源，能熟悉使用网络研究工具；",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84810922
资深文案策划,5-7千/月,6000,国际私塾总部,民营公司,1000-5000人,高新区环球中心,13912,2950,公共交通,1人 | 本科 | 3-4年工作经验 | 英语 良好,2017-02-23,"
						岗位职责
1、组织参与公司的文案构思及文案策划；
2、与设计师协作，执行并监督所负责项目的创意构思和文案；
3、稿件思路清晰，能够完成稿件写作思路规划；
4、协助各个部门的文案需求，进行创意提案，保证工作的顺利推进；
5、独立撰写各类稿件（新闻稿、综述稿、评论稿、专访稿等）、策划方案、报告等

任职资格
1、新闻学、传播学、中文、经济管理类相关专业，大学本科以上学历；
2、熟悉教育培训行业，两年以上市场策划及文案工作经验；
3、能够准确捕捉产品亮点，具备恰如其分的文字表现能力；
4、熟悉专业创意方法，思维敏捷，洞察力强，文字功底扎实，语言表达能力强；
5、能独立完成项目、广告等",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83360508
超市策划 （营销/活动）,4.5-8.5千/月,6500,四川省商业投资集团有限责任公司,国企,1000-5000人,成都市文武路42号新时代广场,3612,1665,公共交通,若干人 | 大专 | 3-4年工作经验,2017-02-23,"
						岗位职责：
1.负责制定年度、季度、节日推广活动企划案，及公司产品品牌形象策划案，并执行；
2.制定完善活动评估反馈机制，跟进执行检核与总结评估；
3.负责对外广告宣传的最终定稿，及相关管控；
4.配合营销相关部门进行整合营销管理；
5.负责跟进媒体对接，以及新媒体运维；
6.完成上级领导交代的其他工作；

■任职要求：
1. 35岁以下，设计、广告、市场营销等相关专业，大学大专及以上学历；
2. 相关工作岗位3年以上工作经验，有营销策划经验优先；
3. 较强的沟通协调能力，创新思维，擅长文案策划；
4. 熟悉快销品行业或食品行业特性；
5. 熟练掌握O",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85234942
